Number,Summary,Score,Network
2ghRFmlKIA3o7PuYDhH710,Welcome to park asked daily. Today. We're featuring real life. Villain Albert Anastasia from our villains podcast. He was a ruthless Hitman in crime Lord by the end of the 1920s. He was one of the most feared Mobsters inside and outside the criminal underworld to hear more episodes like this follow villains free on Spotify or wherever you get your podcasts. On the bank of the Hudson River North of New York City sits one of the most notorious prisons in America singsing in April 1921. The criminals imprisoned there with a worst of the worst many of them were there for Life others for death by that time. The electric chair had claimed the lives of a hundred and forty three murderers in New City alone and that number would grow far greater as the years rolled on. But there was one man on death row in 1921 who had escaped the clutches of old Sparky a longshoreman who is convicted of murdering one of his co-workers in a violent rage.,1,onemin
2h6p8z3CLHzkbRGX2hI5B8,"It's said that he died laughing but is that really what happened to chrysippus of solely if you enjoy this episode on the stoic Greek philosopher and want to hear more of history's most fascinating lives and deaths check out our series famous Fates. You can hear the entire catalog all 45 episodes exclusively on Spotify follow famous faiths today in the meantime enjoy this episode. Sir, sir? Yes. Yes. What is it that you need? Are you indeed who I think you are? I'm not certain any man is who he thinks he is. Well, sir, are you not chrysippus the stoic teacher who has received so much praise. I am it's about my son phileas. He is of the age that I wish him to gain greater understanding of the world you wish him to be taught how Best he should think and how best he should live precisely. So I want my son to learn from the greatest Minds possible. But there are so many choices about tell me under whom should he study such things me just you sir.",0,onemin
2hQUxoBiju6vmoltsNn23b,Today is Monday and it's time for episode 2 of Q and A schnee. Ask Ashley. I don't know. Are we even going to come up with a name for this? We'll get started right after this a lot of stream coach clients and additional content creators have expressed interest in starting their own podcast. So this is something that is interesting for you. Let me talk to you about my favorite platform for this anchor it is absolutely the easiest way first off it's free. There are tools that allow you to record and edit your podcast right from your phone. Or your computer. The first episode of this podcast was actually recorded on my phone and uploaded all my phone while I was working for Amazon anchor distributes the podcast for you. So it goes to Spotify Apple podcasts like 12 others at this point. So you don't have to individually upload it and you can make money with zero minimum listenership. So you're able to start creating your podcast and instantly start advertising on it. It's literally everything that you need all...,0,onemin
2heyDaTfMQQx3uXnJlpR9V,"Hello everyone. This is Adam Meister the bitcoinmeister the disrupt Meister. Welcome to the one Bitcoin show. Today is March the 5th 20/20 strong hand long-term. Thinking Bitcoin is the Bitcoin in motion five-digit realm now. You're welcome Bitcoin. We're going to talk about that today Relentless. This is your home for Bitcoin Insider information. I'm offended by selling don't fomo on alts. Hello my Elite friends. How you doing today, baby beautiful day as you two would say hey. Hey, so if you've got questions, I've got answers type in Bitcoin Meister. Or do a super chat remember this Friday, which is tomorrow and less than 24 hours at 2 p.m. Baltimore time. It's this week...",1,onemin
2j9s3Qr3BS9vO5gL4nU0Ug,"Welcome to we're not there yet. My name is Dori. I'm sorry, and I'm Joe and Welcome to our first podcast recording so exciting. Okay, so so, um, I just talked a little bit about myself. I am a massage therapist. And I work on different type of client So based off of a studio in Westford, and I just hope people feel better and just be able to move and have more energy. So that's pretty much a little bit about what I do. I just think currently I'm working in a mental health field. I'm working on the health clinic that intake coordinator. That's not what I want to do right now. But you know, we're not there yet. Exactly girl and I'm working on my future and getting to where I need to be but for now I work in that's good and I am Duty I'm a student and that's pretty...",0,onemin
2jNGLxgJnBBhkl6BP0dRoJ,"Hello everyone today. I'd like to share a simple podcast about effective execution of strategy. So their focus is all about execution of strategy. Okay, many people come up with great ideas. Great strategies great initiatives and every year they spent countless hours countless efforts of prepare. during creating recreating the till business plan or even set of strategic plans and sometimes they also hire very expensive Consultants to do so, but the problem is sometimes most of the effort goes to waste why because they don't really put extra effort to make sure that they do have a systematic approach to follow up follow through The strategy implementation and execution effectively. Okay. So this is the problem the key problem is how to make sure that we have a systematic approach in place...",1,onemin
2jvWqUD1asYvFsDAFsozkZ,"Hey guys, it's Murph this week on the inside podcast. We have Eric McClellan former A&R at Warner Music all around great guy Avid baseball fan and he gave us 40 minutes of his time to really cover, you know, some solid tips and tricks, you know for artists that are just starting out and how they can A&R their own projects. But then as they start to progress in their career how they can start to, you know, reach out to you know, bigger and ours and work with a and ours at labels as well. So so this is a great one so strap in and enjoy the show if you guys are looking for more information on how Studio talk can help you out. Check us out at Studio talking dotco. Hey, what's up guys? This is Eric McClellan former A&R at Warner Music Group current founder of management and artist development company. Yo peep this So yeah, man, I appreciate you hopping on today and I know we've you know, we've been friends over the last several years Pilots for five years. So glad we could finally get some time to put down one of our conversations. I'm recording going to be cool. Yeah, I'm looking forward to it. Yeah. Yeah, absolutely. So, yeah, let's just kind of start the beginning, you know, if you...",1,onemin
2kcfQZbfss3uBurHEOZoVN,Have you heard about anchor? It's actually what I'm using right now to record my podcast episodes. I've been using it for the last several months and I absolutely love it. If you haven't heard about anchor it's the easiest way to make a podcast. Let me explain it's free their creation tools that allow you to record and edit your podcast right from your phone or a computer anchor will even distribute your podcast for you so it can be heard on On Spotify Apple podcast and many more you can even make money from your podcast with no minimum listenership. It's everything you need to make a podcast in one place. All you have to do is download the free anchor app or go to Anchor dot f m-- to get started. I got a question about extended fasting earlier in the week. And I'd forgotten about how much I used to extend fast. This is an important topic because there's some misconceptions about extended fasting that I want to clear up. So this week I'm talking all about extended fasts what you need to know before...,0,onemin
2kyirVCVfkv05DQF6K9ZnQ,Three common job hopping myths and how to combat them Millennials get a bad reputation for everything they do they get blamed for killing the mayonnaise industry the diamond industry and even the divorce rate myths and stereotypes follow every generation and none of them are immune from job hopping myths industry experts told Business News Daily that these facts about Job hopping aren't at all what they seem here are a few common ones and how to combat them. One Millennials change jobs after one year one myth that some might not know or even care to disprove is that Millennials jump from job to job because we're never satisfied but data from the US Bureau of Labor Statistics shows that employees are actually staying with companies longer than they did 25 years ago in 1983. The average employee spent 3.5 years with the company said Steve Hart CMO of jot. Worm in 1998 that number Rose to three point six years in 2014.,1,onemin
2lDhCSrdibSvo0Fuqd5Qz4,"This episode of a SMR bedtime stories is sponsored by Inger. It's the easiest way to make a podcast and it's actually made it very easy for me to provide you all with bedtime stories twice a week. It has creation tools that allow me to record and edit my podcast right from my phone computer. You may remember Episodes of my podcast were originally recorded using my phone and anchor made it very easy for me to distribute my Bob cast right from my phone. It's everything you need to make a podcast in one convenient place. You can download the free anchor app or go to Anchor dot f m-- to get started. That's a n CH o r dot f m-- to get started. Hello, you're listening to a...",0,onemin
2o7WrExn5YSqJEh8KBuxeB,"Hello everyone and welcome to astral ashes. It is pi C season, and I'm Lisa Marie and I'm Andy talarico. Welcome to astral ashes. We are going to be serenading you with a poem to start. So Andy take it away. I'm going to be reading a poem by one of the Lisa and my favorite poets Christina Rossetti and we thought the dreamy quality of this and the sort of fantasy vs. Reality aspect really spoke to pies. Season so this is called I dream of you to wake by Christina Rossetti. I dream of you to wake would that I might dream of you and not wake but Slumber on nor fine with dreams. The dear companion gone as summer ended summer birds take flight and happy dreams. I hold you full and night I blush again who waking look so one brighter than sunniest day that ever shown and happy dreams. Your smile makes day of Of night thus only in a dream we are at one thus only in a dream we give and take the faith that maketh Rich who take or give...",0,onemin
2oc3ofJDxmI2nLlNYhJHvN,"Hey guys, my name is Lydia and I love love and everything to do with self-discovery self-development and empowering positivity and healthy living welcome to unplug a podcast series were a child with interesting people about their careers and their life and their families. I'll be your host every Fortnight. So make sure that you stay tuned and follow me on Instagram at Lydia know where Lola with three-eighths of the end and follow as well unplugged artificial. We will behold posting every week. So if you miss a week Weak don't worry. You can always come back. So make sure that you subscribe that you shared this video this episode to your friends your family to anyone who has a need to listen send it to them and I'll be more than happy to send you a gift of more podcasting. So let's get into the podcast. Hey guys, welcome back to unplug. And today I have Katie Katie has actually been on this journey with me. Just the start of unplugging everything like that. And I feel like I'm so privileged and excited to have you as...",0,onemin
2qCQkhxRORy9GZ31iRCIqC,"What's up, everybody? It is Brian Ford with self-improvement daily. Take ownership of your personal development one tip at a time today. I'm featuring a special individual who also is our next self-improvement sit down guest. His name is Alex Sheen and he is the founder of the nonprofit because I said I would the mission of the charity is to give people the resources and accountability. They need to live with courage and honor. I'll get into more detail about because I said it would in the interview, but for now, let's learn an important lesson Central to Alex's Mission promises are serious, and they shouldn't be taken lightly. We need to make promises only when we mean them have a listen. So if you look at Merriam-Webster Dictionary A promise is a statement telling someone you'll definitely do something or something will certainly happen in the future you touched on something that's incredibly important and not always intuitive is how important and the courage of no is you can't make everybody happy, you know people pleasing at its core is a good thing, right? You have an intention to help others to do good in this world...",2,onemin
3tzoElYoixtgMaTJ1FiZad,"Hey everyone, Welcome to our first episode of season one third Imperium Asheville played podcast with the died saving gang. I'm Mason. I'm the referee for now and until eternity now long. I'm I'm Stan I play jatis Gant a Terran. I'm a Bailey. I'm playing Tucson and he's a computer specialist. I'm John I'm playing Admiral Cain who's at Aaron and wrote the book on counter Espionage and Espionage. Literally, he's the man and I am Chris. I play Reuben Glaser a harpoon, which is a dog race are and get used to that. Oh, yeah, that's it. I already know this going to be a running gag. So there's no recap to do because this is our first episode ever, but we're going to start off actually at Zemus, which is a system in the Concordia sub-sector of space. We're going to be on the Spaceport are Admiral Cain Reuben Glaser and jatis are going to be over two together because they have a history previous Adventures. They've been on during...",1,onemin
3u57dQEUl7W1YTCwQQTM6e,"Hey everyone, and thank you for listening to let's get into this. If you haven't heard about anchor it's actually the easiest way to make a podcast. So let me go ahead and explain a little bit to you. It's completely free to do there's creation tools that allow you to record and edit your podcast right from your phone or computer. So it's really really easy to do. Do anchor will distribute your podcast for you, so it can be heard on Spotify Apple podcasts. And so many more you can also make money from your podcast with no minimum listenership. It's everything you need to make a podcast and one place download the free anchor app or go to Anchor dot f m-- to get started. Hey y'all, and first and foremost. I do want to say that I am grateful for whoever decides to take the time out of their day. So listen to my podcast and I also just want to give a trigger warning that in this episode. We will be talking about child abuse. So if that's a sensitive topic for you either just stop listening or proceed with caution.",1,onemin
3uXxGkvtfq74gZ3Uh4KiZx,"Hey everybody, welcome back to the Dallas and show the podcast that I that I have. Um, I'm here with Liana my girlfriend Lee and how you doing? I'm good how happy happy March. Happy Martin. You'll Marilla marzipan, March 1 March. Oh, you know, it was a leap year yesterday. Yeah. I felt really stupid because I had to ask you a question about leap year. What did you ask me to remember? We're about people's birthdays, you know, I Grew up with the kid whose dad his birthday was that we'd always teased that he had his dad was only like 14 or whatever. I literally never thought of that once that's interesting and it's whenever I'm in Years of Living that's how old you are never thought wow could've fooled me. Well, I apparently they celebrate it on the 28th or today. That's so sad. That's not their birthday. Yeah. That's it's really weird. I know. Do you know how leap year started? No, it was Julius Caesar really because every four Years like the Earth. I'm really going to butcher. I have no fucking idea basically like evens out the calendars or something now even without the calendar, I'm not smart enough sounds...",1,onemin
3vT0kFkz2Gz8RDLJH3knzx,"You are listening to do includes live podcast with a McMillan and Becky Ward where we talk about doing your 20s in the 2020s. Hi guys. Thank you for joining us for our first ever episode of doing quarterly podcast. And this week. We are celebrating women. I'll is international Women's Day on Sunday the 8th of March, so we thought it'd be a good opening topic as two female podcast. Has Amy what could stuff have you heard in the news this week? Okay, so I know in a moment you're going to be talking about a really huge piece of news that was covered in the media last week. So I thought it might be nice for me to start with maybe a slightly smaller you story that people haven't necessarily heard about and I was scrolling through Twitter last week and stumbled across an article about hair salons and basically a number of salons across the UK have been boycotting gossip magazines. And it was just a story that really stuck with me. I think especially in light of the recent Caroline Flack suicide which really shocked and upset a lot of people and it was really nice to see that consumers or certain...",1,onemin
3vaqb9E0J8466F8J4UeDyE,"Spoiler alert, I'm doing some definite speculating on today's show. So tune out if you want to stay spoiler-free on Bachelor this season couple weeks ago. I reported that Madison Pruitt with seen in Auburn filming something with a production crew Link in the description and I along with almost all of Bachelor Nation speculated that Maddie was certainly going to be 2020s Bachelorette. Well that theory is officially dead because Claire Crawley was announced as next season's leading woman. So let me get this straight. Maddie was filming something weeks after production wrapped, but she's not the Bachelorette so she has to be the winner of this season, right? Is there any other reason Maddie would have been filming this is unconfirmed. But as of right now I see no other explanation unless y'all have other theories. Let me know your thoughts down in the comments below. That's all I've got for today on Bachelor News Daily. But if you're new to Clare Crawley, I just did a deep dive on her earlier today. So check that out on this channel and make sure you check out our Bachelor after show live tonight at 7 p.m. Pacific on AfterBuzz TV. I've been your host chef Graham. Thanks for tuning into Bachelor News Daily. And we'll see you tomorrow. Spoiler alert, I'm doing some definite speculating on today's...",1,onemin
3wF2WxFD1Z9h6o01vnvs9q,"Hello and welcome to episode 7 of the poolside. Last podcast in this month's episode. We've got an interview with John Rudd who is a national performance director at swim Ireland. We're going to be speaking to John about his career at Plymouth some of the athletes you coach the Plymouth and now a little bit about what is expecting from from Tokyo with with some Island. I do need to apologize for the quality of some of the recording where a little bit of a struggle just getting to secure connection on the Wi-Fi. So if at any point in time some of what John saying is not very clear. It's down to the Wi-Fi and the connection we had but I've done a what I think is a good job on it at it. So it should sound should sound pretty good through the interview just quickly before we jump into the interview, really really thank you so much for for our growth on Twitter social media. We really are seeing some great stats now on. Of course, which is great to see in something. I know they're expected to see when I first started this out and episode 1 so, so thank you very much for that. So I think it's about time. I introduced introduced John John rug. Thanks for coming out to the podcast pleasure.",1,onemin
3wSzVvzB53WyFg5DKxrK0l,"Coming up on this episode of Nintendo cartridge Society. It's the switches third birthday. And I don't think we bought it anything. It's dangerous to go alone. So the Nintendo cartridge Society goes with you. Welcome to Nintendo cartridge Society. My name is Patrick ehlers and I'm joined as always by my co-host Mark Mitchell. We've got a good show for you. Today. We're going to be talking about the news from the week including a lot of news coming out of platinum games and Yacht Club and then on Thursday, we're going to be doing the Legend of Zelda A to Z. But in the meantime, Mark, how you doing? I'm doing Great. Yeah, I have a quick question for you lay them chips and guacamole wonderful on the scale of like healthy snack. Oh to unhealthy snack. Where does this fall because chips obviously not healthy guacamole. Maybe okay guacamole is a real it depends on the situation because like if you are getting guacamole from like that little vacuum sealed container, right? I feel like there's got to be something in there making it not not good for you salt if nothing else right?...",1,onemin
3xNSneHkYqNyGDVgz5NKAl,"I'm getting sleepy but before bedtime it's time for Choppers your morning and night toothbrushing show start brushing on the top of your mouth on one side and brush the inside outside and chewing side each tube. It's heroines week and every day this week. We've talked about a heroic woman from history. Today. We're talking about wangari. Maathai the woman who started the green belt movement one Garden was born in a country in Africa called Kenya when one Gary is a girl Kenya was full of strong Lush trees and the beauty of nature was everywhere but soon that would change. Switch or brushing to the other side of the top of your mouth and brush the molars in the way back, too. people began to cut down the trees so they could sell the wood or so, they could grow food on the land when Gary was sad to see the forest disappearing, but she could also do something about it one gauri had studied the science of living things, but it's called biological sciences. She'd studied so hard that she'd gotten a degree called a doctorate.",1,onemin
3xwXYI4A79TXcrFmMwRGV1,"Hey, what's up? Welcome back to the Purple Monkey podcast. We got a great show for you guys today Beauty right boys, beautiful beautiful show introducing a new market today. We'll The Savage if that's me. I'm well, or will the Savage on this chord? That's great. That's a big. Thanks very soon. That's pretty Savage so money update two episodes in we not the not the most fruitful episodes. I'd say we're at four dollars 48 cents should Chang it's still we're almost at five dollars and was a $5. That's the point that I think we can probably Go to the dollar store almost five round trips. Yeah, that's really awesome. We can buy a bouncy ball or like a confetti Pauper like five of those not like a beef stick or this that oh, maybe beefsteak say we can see ya Takin darts at a dart for the Marlboro Man sponsorship backwards good idea. So this is the most packed episode we've ever had that's cool. It's cool five for the boy likes five people what could go wrong? We would have to my tested fate. Let's just put it like that practically kissing. Honestly, I knew pervert Jesus only need to buy a couple more. Let's see if it even is good with this many people say hey well dreams. Are you could do what? I'm not...",1,onemin
3yQa1EAhglPH87xqtfQKmo,"Hi, I'm coach Cory Wayne. And this is my video coaching newsletter and the topic of today's newsletter is going to be struggling with my purpose in life. This is something that I think pretty much every man struggles with because the reality is you're not going to stay positive all the time. You're not always going to feel like things are going to work out in your favor. You're not always going to feel like you're doing the right thing someday is going to be really great and you're going to be full of passion and feel inspired. And other days it's going to feel hopeless and like things aren't working out and you're just a ridiculous hopeless dreamer, especially if you got people chirping in your ear and your life telling you what a stupid idea that you've embarked on or that business you want to build or that career you want to have is just unrealistic for you. So I've got an email here from a guy who knows what he wants. He's figured out what his purpose is, but he has plenty of days. Are these just sure whether or not he's got the ability to pull it off. So I got a quote that...",1,onemin
3yveWKAwSF6rONBwHtikMC,"Hi, I'm be and you're listening to the bubble. And today I'm interviewing had girl Izzie Wilson about time management and how she does it. So is he do you find it hard to balance time between all the stuff you do? Yes, it's very tricky to balance my time between the a-levels bought everything else had girl duties, but it's such an essential skill. That you have to learn especially when doing gcses and a-levels. So I have some days where I meant to be in three meetings at once which can be quite challenging. So I do need to have ways of getting around that which may involve meeting up with whoever is chairing the meeting before and afterwards to find out what's discussed and but for my a-levels just making sure that you plan out all of your time. I know what you need to get done to make sure that you do for the meetings. Do you ever find that you just go to whichever one has the scariest person leading it? Who did you say scared like I would if I was you I would rather miss a meeting with like I don't know basically...",1,onemin
3z5zWuMnniPKcTPymHRRXI,"It looks like there's going to be a lady Loki in the upcoming Disney plus series after all there have been new set photos revealed on Twitter by at BR Marvel news showing Sofia demartino dressed in a black suit with the green and gold that is a dead giveaway for Loki. This was a rumor that was circulating not long ago, but was never actually confirmed now looks like that's exactly what we'll be getting. This also leads us to wonder whether we'll be seeing a kid Loki as well as both a child and Lady versions of loci or straight out of the comics. In fact, he's changed his form quite a few times after being brought back to them dead. And it looks like we're getting at least two versions so will be fun to see what else we might see in the upcoming Loki. Are you excited about the upcoming series? Let us know what you'd like to see in the comments and be sure to hit that like button and subscribe for your daily dose of Marvel for more in-depth conversations head over to Marvel movie news. Thursday's 1 p.m. Right here on the popcorn talk and if you'd like to keep up with my ever-growing Marvel Obsession, you can follow me on Twitter and Instagram @ Z Or land thank you for watching. If you like this here's a word from our sponsors before...",2,onemin
3z9Kkk9LNEH2TGkilqcPFr,"Hello everybody and welcome back to slap cast. I'm your host gauge as usual. And as you may have noticed this is not exactly our usual programming a because we actually didn't have one of those this week. But if you're hankering for your weekly slap cast content, it is here in the form of a cheeky special and today. I am joined by Chris Miller better known as windy. So Chris, how are you? I'm good. Thank you gauge. Yeah, so it's good to have you on do you want to go ahead and just tell all the people what you're involved in and all the things that you're doing right now? Sure. So I guess I'm most known for Twitter. So I'm I've got a Twitter account a twin decoys, which I've been running for recordist. It's 10 years. Now, which makes me feel really old I've been in I've been on Twitter since the very early days where everyone was really nice to each other things have changed since then but The thing I'm kind of working on the most at the moment is a Spurs podcast called the extra inch so we are roughly a weekly podcast and we generally cover like reviews of the games that we've just played and we sometimes these previews...",1,onemin
3zir6jx2t64H9gzWjg4ac0,"Hey guys, what's up? It's running on sex. It's a Brielle fancy seeing you here today. I am with Corey and we're going to talk about polyamory and kind of like dating preferences. So hey, hey, hi. Yeah, I'm Corey. I I don't really know what to say about myself, but I guess I go to school with a Brielle. That's how we met and I study social work and I consider myself a polyamorous person or identify as polyamorous and I engage in a polyamorous lifestyle. So and what how would you describe polyamory? So to me polyamory is the ability to love more than one person at a time and not just to love more than one person at a time but to engage in Ships with more than one person and I mean polyamory is a very broad term and it can mean different things to different people but that's kind of what it means to me and that goes to say a relationship can be it can be romantic can be sexual. It can be platonic like there's different types of relationships and that's...",1,onemin
3zkN09hDZfoEeX6IfVNbvA,"This episode features depictions of violence against children death and language that some listeners may find offensive. Listener discretion is advised especially for children under 13. The small wooden frame of the Leeds house shook in the coastal storm screams reverberated from within and echoed into the darkness of New Jersey's Pine Barrens. Mother Leeds was in labor with her 13th child. No Midwife would help her everyone who lived nearby whispered that she was a witch. She could barely feed the 12 pairs of eyes that watched on in horror from the corners of the room. She couldn't provide for another this labor was unlike the others this time the tears that formed in her eyes were Tears of Blood every kick felt like a dagger every Action ripped her breath from her throat it felt like she was being eaten from the inside out and as the child crowned the word. She screamed reached all the ways to the very bowels of Hell. Let this one be the devil. Devil,...",1,onemin
40cQ1OZKNp9XhUTHa92mdK,"What is this so-called again? Thank you, Maggie. Okay, um. What it was that again is after credits after credit your credits. Okay after credit, thank you, Maggie. I love you, Maggie. Okay. Hi guys. Welcome to after credits. My name is Bryce and I'm here with my co-host. Her name is Carly. Hello. Oh my gosh. Basically, this is the first episode of our And we basically the end. Oh my God. Okay, the basic structure. Is that every week? We're going to watch a movie depending on how we're feeling or like the based weight the movie. Okay. Can you try? Yeah, so the structure of our show is that every week we are going to try and watch a movie of our own interests and then we're going to discuss it with each other as well as probably get very sites. Tracked because that happens every time we talk about any any time we are together. So yeah, so this week's movie was a well-known 2005-2006 depending on where you are in the country Classics. Did you do on this movie? I guess more than you. Okay, a 2005...",1,onemin
40dECDdVVUcaV5Pq5Xlmye,"Hey guys, it's cake. Umm, a from SMG and I'm here to tell you about anchor it's the easiest way to make a podcast. Let me explain it's free. There's creation tools that allow you to record and edit your podcast right from your phone or computer. You can make money from your podcast with no minimum listenership and anchor will distribute your podcast for you so we can be heard on Spotify Apple podcasts and many more. It's everything. You need to make a podcast in one place download the free. Anchor app or go to Anchored on FM to get started. Wave your shoulder Every Time We Touch it says welcome back guys to see. Sex and the gritty in New York City. I'm your host and Creator cake of a and how you guys doing today. We're doing good of a diverse. Thank you for having us back. Oh, you're so welcome. Well having me back. Hey, who are you you been locked in? Okay, it was sex in the gritty and I had two great people with me Clarity. Is he in the building? I have King...",1,onemin
412MQ05nzDPeMOgXkULk8X,"What's up, y'all? Just wanted to take a minute and say if you've ever considered starting a podcast now is definitely the time anchor is definitely the place I can't tell you how easy it was for me to start my podcast and get it up and running. Thanks to Anchor with a couple clicks of the button. I had my podcast out ready to go on Spotify Apple podcast and many other platforms again. It was so easy. I can do it from my phone from my computer. It doesn't really matter. Whatever. Why I want to do I can do it. It's free absolutely free and they help you with sponsorships. They helped me with so much. They literally do it. All I can't think of a better place to start a podcast for a beginner for a pro. It doesn't matter again. So download the free app today or go to Anchor dot. F m-- to get started again download the app today. It's free, or you can go to Anchor dot f m-- to get started today. So let's jump back into the podcast. Ladies and gentlemen, welcome to my very first episode of my podcast that has no name looking for suggestions looking...",0,onemin
41Tvys3MKcIU0cPNU7eP5w,"Yo, yo, yo, what's up everyone? I guess I'll kick off this podcast addressing probably the biggest talk in sports right now. Tom Brady greatest of all time Now if you ask me Patriots fan, obviously, I'm going to tell you that he's staying put but if you ask me as an NFL fan. You staying put it just doesn't make sense for me for? Somebody like him somebody that has been in the NFL for just about 20 years spent it all with one team just doesn't make sense for me to it's just doesn't make sense to me. So it doesn't make sense to me for this man the go out and play for another team at 43 years old after spending his entire career playing for the New England Patriots. It just doesn't make sense for me, but you know, obviously They were not Tom Brady. Do I think he can do it? Of course he can I just don't think it makes sense for him. I do think that the Patriots need to buckle down and get him help. He has been doing way too much by himself for quite some time last year. We had a solid defense. Yeah, but he had nobody to throw do I know they tried to get him some help with bring it in antoniou Brown at the beginning of the year.",1,onemin
42PU8079HT7DvGmUwkDkKj,"Good morning, everyone Welcome to our Friday spending time with Jesus podcast today. I wanted us to look at Romans chapter 1 the entire book of Romans is jam-packed with Theology and interesting thoughts and just like amazing Epic. Ders that people quote all the time and Romans chapter 1 is really no different and Romans 1 we're dealing with our sexuality. We're dealing with idolatry. We're dealing with the question of is the law of God really written on the human heart no matter where they're at. No matter where they've grown up or what they've heard all their lives and it's an incredible chapter it lists out all the ways that we can act basically in sin and have a depraved mind and then it leads us right into Romans Chapter 2, which says that We don't have any room to pass judgment because we're guilty of the same things which leads us right into a beautiful chapter 3 talking about how we've all fallen short of the glory of God and that's why we needed Jesus and that's why God sent Jesus. So it's really hopeful even though Romans one can feel a little heavy.",2,onemin
434ngZNf4auA40eI0ZFjaU,"This is going to freak me out. He's like, oh thank God. You're not a horse girl. Like I can't think of anything. Who does that? I'm gonna go finger the icing over another company. Hello and welcome to another episode of officially unofficial. Hello and welcome back. My name is Nat and my name is Bianca and this week. We are talking about the laws of attraction. Are they hot or are you just desperate? How was your day? My day was very boring. How was yours? I was also very boring but for very I assume very different reasons. So I was summoned to jury duty today. Not sure how much I can talk about but I will say that it was the absolute ban. My existence like you're stuck in a sterile room with like multiple televisions on and no sound and no subtitles. You don't know what's going on. And then you start your in this process where you're either like picked or not and you're kind of stressing because then you'll have to take I was supposed to take almost actually. I don't know if I can say I don't know how much I can say about the actual case, but the whole point of this is that I didn't even get picked. So I was in a room for five hours with this sterile...",1,onemin
43eFYhQOHILCTAi6Afo12F,"Feels like Back to the Future 2, but this isn't an alternate 1985. This is just March. This is March. This is stopped episode 4 and like we have described in the last couple of episodes. We have a very high bar on the show. And this is the first show that we are doing in the greatest month that we have on the calendar and as I've always stated it is the goal of this show to give the college basketball fan the best coverage that he or she can get on a regular basis and you think about the idea of transcending a space and you think about the great speeches that we have had in our great country. History President Kennedy being sworn into office some of the great words of dr. Martin Luther King during his memorable life and that brought me on the ride over to the studio today to some thoughts of one of Al Pacino's most underrated performances the speech that he made at a funeral in the movie City Hall in the mid-1990s. And in that scene Pacino hit on fighting back and not going down a certain way and it got me to thinking If I refuse...",0,onemin
44CnUZ2v4d6IWR1juH2I2F,Wealth from get-rich-quick schemes quickly disappears. Well from hard work grows over time Proverbs 13 11. I read a story recently about a 24 year old who went to visit a financial planner the financial planner asked to see her spending habits the author of the article shared that through to over the phone sessions in a couple of weeks of financial reflection. She found that she didn't have to give up things. She really loved to save money that realization helped her get past Financial anxiety and helped her to make productive spending cuts during the sessions. Which each lasted about an hour they discussed her background shared screens to look at a monthly credit card statement and addressed goals for the week. The financial accountability was intended to help her prepare and save for the future. It's encouraging to know that the Bible is full of wise advice on how to handle and how to view Money In fact money is mentioned hundreds of times in the Bible including the verse from Proverbs we heard today. Let's hear it again wealth from get-rich-quick schemes quickly disappears. Well from hard work grows over time. It's also important to remember Words of Jesus to when I plan for my financial future to invest in things of the Kingdom that...,1,onemin
44iIxNU8wzmvoAgxMrPpuj,"Have you ever wanted to start your own podcast? If so, you should use anchor the easiest way to make a podcast. Let me explain. First of all, it's free second of all, there's creation tools that allow you to record and edit your podcast right from your phone or computer next ankle distribute your podcast for you. So it can be heard on Spotify Apple podcast and many more also, You can make money from your podcast with no minimum listenership. It's everything you need to make a podcast in one place download the free and grab more go to Anchored on SM to get started now. Let's get back to the ASMR. Spotify you can listen to all of your favorite artists and podcasts in one place for free. You don't even need a premium account. And Spotify has a huge catalogue of bobcats some every topic including premium a s'more on Spotify. You can follow your favorite podcast. So you never miss an episode easily share what you're listening to with your friends on Instagram and premium...",1,onemin
452Ytn5Dn0blMW5ZvtoJud,"Hello and welcome to Fitness unfiltered episode 64. So this is our first in a couple of weeks due to some scary scheduling issues. For those of you that did notice they be a large percentage of you that didn't notice but we did promise that it would be worth the wait. So before we get into it is only right to acknowledge that I'm also joined by Emma and Mike as always so M. How are you I'm fine. Excellent and Mike, how are you? I am also fine. Okay, so statements of I'm fine pretty much make sure the world goes around I think so. We are actually joined by another and we are honored and excited to be joined by Doctor David. Robert Grimes who is a physicist cancer researcher award-winning science writer and author of a best-seller, which I'm not just saying this because he's they're here. I did actually say it to Mike off air as well. It is one of my favorite reads of 2019. And the irrational type which we all are irrational apes are times I think so. Hello David, how are you? Hello. I'm fine. Thank you. Almost nailed it. Now it Adam. Thank you so much for your time because it's I have pests you do you...",1,onemin
45aQVnTm5m78jAo856S6Qq,"Welcome to Bible at bedtime a podcast where I Amber Lawton read Bible passages to help you fall asleep. You know, I started this podcast because I've had trouble falling asleep and I found that over the years when I listen to the word of God. I'm able to settle down. and find peace and fully rest And so as you listen to night focusing on the word of God. Let It Be an inspiration to you To bring you peace and to allow you to fully rest. Go ahead. And get in a comfortable position. making sure that your head is resting on your pillow. And your body? Is laying all the way down. removing all tension and allowing yourself. to fall deeply into the bed letting every limb release. and just relax if you have your hands clasped or in a fist Go ahead and let those go now. Putting your hands to your sides. making sure that you are fully...",1,onemin
